Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,73778,ASIANPAINT 30 DEC 2025 PE 2440.00,2025-12-30,PE,2440,ASIANPAINT 30 DEC 2025 PE 2440.00,0.05,250,10000,1,ASIANPAINT,N,INE021A01026,ASIANPAINT 30 DEC 2025 PE 2440.00_20251230_PE_2440,XX
N,D,70781,BIOCON 28 OCT 2025 PE 280.00,2025-10-28,PE,280,BIOCON 28 OCT 2025 PE 280.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 PE 280.00_20251028_PE_280,XX
N,D,73812,ASIANPAINT 30 DEC 2025 PE 2720.00,2025-12-30,PE,2720,ASIANPAINT 30 DEC 2025 PE 2720.00,0.05,250,10000,1,ASIANPAINT,N,INE021A01026,ASIANPAINT 30 DEC 2025 PE 2720.00_20251230_PE_2720,XX
N,D,70786,BIOCON 28 OCT 2025 CE 310.00,2025-10-28,CE,310,BIOCON 28 OCT 2025 CE 310.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 CE 310.00_20251028_CE_310,XX
N,D,70788,BIOCON 28 OCT 2025 CE 320.00,2025-10-28,CE,320,BIOCON 28 OCT 2025 CE 320.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 CE 320.00_20251028_CE_320,XX
N,D,70811,BIOCON 28 OCT 2025 CE 350.00,2025-10-28,CE,350,BIOCON 28 OCT 2025 CE 350.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 CE 350.00_20251028_CE_350,XX
N,D,73814,ASIANPAINT 30 DEC 2025 PE 2760.00,2025-12-30,PE,2760,ASIANPAINT 30 DEC 2025 PE 2760.00,0.05,250,10000,1,ASIANPAINT,N,INE021A01026,ASIANPAINT 30 DEC 2025 PE 2760.00_20251230_PE_2760,XX
N,D,46506,NIFTYNXT50 28 OCT 2025 CE 80100.00,2025-10-28,CE,80100,NIFTYNXT50 28 OCT 2025 CE 80100.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 28 OCT 2025 CE 80100.00_20251028_CE_80100,XX
N,D,70813,BIOCON 28 OCT 2025 CE 360.00,2025-10-28,CE,360,BIOCON 28 OCT 2025 CE 360.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 CE 360.00_20251028_CE_360,XX
N,D,70822,BIOCON 28 OCT 2025 PE 370.00,2025-10-28,PE,370,BIOCON 28 OCT 2025 PE 370.00,0.05,2500,75000,1,BIOCON,N,INE376G01013,BIOCON 28 OCT 2025 PE 370.00_20251028_PE_370,XX
